runtime,inst_num,plan_cpu,plan_gpu,gpu_type,cpu_usage,gpu_wrk_util,net_read,net_write
2703.0,8.0,600.0,25.0,MISC,81.01657458563535,0.8366972477064221,9.830657877027988,10.125359619070432
2713.0,8.0,600.0,25.0,MISC,84.90257352941177,2.1904761904761907,9.757049033394463,10.096119478712678
2758.0,8.0,600.0,25.0,MISC,76.67695099818513,1.5551537070524413,9.692870867144954,9.95182667828358
2930.0,8.0,600.0,25.0,MISC,68.56996587030717,1.0186757215619695,9.066980666301008,9.356944619081283
2936.0,8.0,600.0,25.0,MISC,76.75809199318569,0.3322033898305085,9.10222287097861,9.345529755082628
4444.0,8.0,600.0,100.0,MISC,51.41619797525311,0.9237668161434978,6.012272144143218,6.192985961395175
4460.0,8.0,600.0,100.0,MISC,56.58520179372197,1.7184357541899442,6.005255640343031,6.164306793012656
2709.0,8.0,600.0,25.0,MISC,133.70240295748613,2.522058823529412,9.848759713577568,10.122910339378434
2923.0,8.0,600.0,25.0,MISC,70.23589743589744,0.8824531516183987,9.074068353301094,9.373000401390025
119.0,5.0,200.0,100.0,MISC,432.375,30.42307692307693,6.009944934131844,6.17601289121168
120.0,5.0,200.0,100.0,MISC,432.8,28.03703703703704,9.671873011722647,8.675657466310879
135.0,5.0,200.0,100.0,MISC,453.33333333333326,22.17241379310345,6.0230156029424355,6.315104589106575
130.0,5.0,200.0,100.0,MISC,202.9615384615384,10.0,6.600598256674506,6.2871343709768786
157.0,5.0,200.0,100.0,MISC,379.84375,21.0,5.428167216893701,4.9042263850569725
19419.0,15.0,200.0,5.0,MISC,164.5373326467559,4.641625932595832,16.242403276674757,19.625623023058886
19420.0,15.0,200.0,5.0,MISC,148.4582904222451,4.498070491381529,14.736613566414244,17.802607391730966
19421.0,15.0,200.0,5.0,MISC,153.34571723426208,5.610824742268043,15.950701687452334,19.273083762283026
19416.0,15.0,200.0,5.0,MISC,136.15945388974754,4.018532818532819,7.488020875106306,9.04675746845044
19417.0,15.0,200.0,5.0,MISC,133.49292149292148,2.9513763828145096,13.701336016163706,16.553904153801383
19421.0,15.0,200.0,5.0,MISC,163.7440123615761,5.475038600102934,16.530300604841276,19.974003519932857
19422.0,15.0,200.0,5.0,MISC,142.27659026525882,4.451363870303654,6.980977957458232,8.43431949664165
19423.0,15.0,200.0,5.0,MISC,120.15580736543907,3.546577457539887,12.464190042161501,15.056269939711875
719.0,8.0,600.0,25.0,MISC,283.9160839160839,4.219178082191782,1.0059448054858617,1.0494708469530352
127.0,10.0,200.0,100.0,MISC,217.28,22.964285714285715,9.361781670872507,9.541603792844148
128.0,10.0,200.0,100.0,MISC,232.52,17.035714285714285,5.7781917961507006,5.826915808792772
130.0,10.0,200.0,100.0,MISC,240.2,19.214285714285715,5.6729873984024435,5.8240474259545065
138.0,10.0,200.0,100.0,MISC,257.1851851851852,10.833333333333336,9.177090025717213,8.539988103893497
250.0,10.0,200.0,100.0,MISC,129.0204081632653,4.846153846153847,3.4275437689052435,3.6679259888687223
143.0,10.0,200.0,100.0,MISC,261.07142857142856,10.387096774193546,5.284154766239226,5.349838194670156
166.0,10.0,200.0,100.0,MISC,225.24242424242425,11.333333333333336,7.474907919361785,7.418093957208298
130.0,10.0,200.0,100.0,MISC,233.11538461538456,20.13793103448276,6.094658229500055,6.507733356952667
148.0,10.0,200.0,100.0,MISC,282.8620689655172,12.625,5.617608642487815,5.517153665874943
92.0,10.0,200.0,100.0,MISC,326.3888888888889,16.047619047619047,7.800222432807734,8.27197692964388
1508.0,8.0,600.0,25.0,MISC,165.03986710963454,2.1776315789473686,17.506468646252742,18.08391730216194
74.0,4.0,600.0,50.0,T4,68.66666666666667,0.0,1.8195486402041037,1.3466383595215647
73.0,4.0,600.0,50.0,T4,64.86666666666666,18.0,1.9837816295524435,1.4214612253838113
74.0,4.0,600.0,50.0,T4,61.73333333333333,6.705882352941178,1.9791671563353803,1.4213541816506121
11644.0,13.0,600.0,100.0,P100,734.4139115500218,13.344487344487344,3.576023518643152,1.3374933579252404
11645.0,13.0,600.0,100.0,P100,694.7532299741603,12.481513327601032,3.1806198279321296,1.2286755948048005
11648.0,13.0,600.0,100.0,P100,693.9300128810647,12.849914236706688,6.634189094458712,2.572343350022048
11649.0,13.0,600.0,100.0,P100,720.4164877629885,14.109777015437391,7.268156087671897,2.7677594933944656
11649.0,13.0,600.0,100.0,P100,694.2524688707599,12.644939965694682,3.2476461413102857,1.2565723513386764
11649.0,13.0,600.0,100.0,P100,705.4114114114114,13.650943396226412,3.5006303788827546,1.3582602401057318
11660.0,13.0,600.0,100.0,P100,648.4073756432247,11.98458244111349,6.289373171496626,2.3795224248004234
70826.0,16.0,600.0,25.0,T4,487.4259089304624,33.0664172783738,13.47359736774234,12.435440235683885
70829.0,16.0,600.0,25.0,T4,549.9529121073067,46.80632411067194,10.165662948758609,9.366677061900655
70830.0,16.0,600.0,25.0,T4,471.02174373455705,29.68125352907961,13.469051546233722,12.43392496531119
70831.0,16.0,600.0,25.0,T4,486.61715495940695,36.96739130434783,18.917305606838354,17.445968512944436
70832.0,16.0,600.0,25.0,T4,549.7418284504059,46.265104460756646,9.448254176465392,8.70935549384196
70833.0,16.0,600.0,25.0,T4,535.6433462760325,47.99788255223039,20.25872998006736,18.66699021364932
70837.0,16.0,600.0,25.0,T4,547.5161996188325,52.18523745677793,21.798668220329024,18.320530441651762
70837.0,16.0,600.0,25.0,T4,489.95094925541673,44.92421676545301,18.11230592492931,16.69198414868437
70838.0,16.0,600.0,25.0,T4,684.5202230535753,36.45815102328864,26.0873871229252,6.319210984551505
70838.0,16.0,600.0,25.0,T4,554.1586786193267,53.056669019054354,21.464012265479834,19.770075672608762
70839.0,16.0,600.0,25.0,T4,517.8913672619468,46.41411432604093,20.274725637407794,18.687340151732307
17998.0,4.0,900.0,100.0,MISC,109.33583125173466,0.9750277469478358,5.807922768484568,1.014286333567985
1464.0,8.0,600.0,50.0,MISC,68.57337883959046,1.0878378378378382,7.155293159136668,7.524588031800909
1678.0,8.0,600.0,50.0,MISC,55.23283582089552,0.5562130177514792,3.245599098899196,3.4305073449437593
1457.0,8.0,600.0,50.0,MISC,74.36082474226805,0.7372013651877133,3.61101706212355,3.796754177748147
1475.0,8.0,600.0,50.0,MISC,81.18983050847456,1.771043771043771,7.110866674661237,7.475619063479048
1666.0,8.0,600.0,50.0,MISC,42.11111111111112,0.5014925373134328,3.262429829498958,3.4496076956656636
3390.0,8.0,600.0,50.0,MISC,69.7098674521355,1.2716593245227603,8.379685641427542,8.771619999087536
3394.0,8.0,600.0,50.0,MISC,73.40206185567008,1.4633431085043989,8.361846644556802,8.758092514428789
3403.0,8.0,600.0,50.0,MISC,93.1424375917768,2.0701754385964914,8.345365401188822,8.732445237823647
7031.0,8.0,600.0,50.0,MISC,137.8878637331441,2.650106458481192,17.200705635207587,17.94586700792434
7032.0,8.0,600.0,50.0,MISC,138.88415067519546,2.613200851667849,17.19957271919003,17.942916523995212
7024.0,8.0,600.0,50.0,MISC,146.3032028469751,2.3345170454545454,17.220309434856528,17.97083972557332
108405.0,4.0,1600.0,100.0,P100,1075.757299017573,83.93220495318913,1.8166347188078398,3.625945032046968
108411.0,4.0,1600.0,100.0,P100,1070.683069685929,85.90237941529097,3.6043492488753044,5.402734789078856
36.0,4.0,1800.0,100.0,P100,94.28571428571428,1.1111111111111112,2.965753774073991,2.3325342481786553
36.0,4.0,1800.0,100.0,P100,100.14285714285714,2.0,3.0385814762928267,2.3609942522915928
36.0,4.0,1800.0,100.0,P100,99.71428571428572,1.6666666666666667,2.9963657673109663,2.3552823689850895
37.0,4.0,1800.0,100.0,P100,89.85714285714286,0.0,2.970610889521512,2.3426559147509662
